127.0.0.1 - - [21/Jun/2018:16:10:48 +0900] "GET /cban/assets/bootstrap-4.1.0/js/bootstrap.min.js.map HTTP/1.1" 200 176602
127.0.0.1 - - [21/Jun/2018:16:10:57 +0900] "GET /cban/bookshop/shopping/cartList.jsp HTTP/1.1" 200 7502
127.0.0.1 - - [21/Jun/2018:16:10:57 +0900] "GET /cban/imageFile/k132532003_1.jpg HTTP/1.1" 200 147
127.0.0.1 - - [21/Jun/2018:16:10:57 +0900] "GET /cban/imageFile/s972532852_1.jpg HTTP/1.1" 200 147
127.0.0.1 - - [21/Jun/2018:16:10:58 +0900] "GET /cban/bookshop/shopping/buyList.jsp HTTP/1.1" 200 4609
127.0.0.1 - - [21/Jun/2018:16:10:58 +0900] "GET /cban/imageFile/k292532839_1.jpg HTTP/1.1" 200 147
127.0.0.1 - - [21/Jun/2018:16:10:58 +0900] "GET /cban/imageFile/s972532852_1.jpg HTTP/1.1" 200 147
127.0.0.1 - - [21/Jun/2018:16:10:59 +0900] "GET /cban/bookshop/shopping/cartList.jsp HTTP/1.1" 200 7502
127.0.0.1 - - [21/Jun/2018:16:10:59 +0900] "GET /cban/imageFile/s972532852_1.jpg HTTP/1.1" 200 147
127.0.0.1 - - [21/Jun/2018:16:10:59 +0900] "GET /cban/imageFile/k132532003_1.jpg HTTP/1.1" 200 147
127.0.0.1 - - [21/Jun/2018:16:11:01 +0900] "GET /cban/bookshop/shopping/buyList.jsp HTTP/1.1" 200 4609
127.0.0.1 - - [21/Jun/2018:16:11:01 +0900] "GET /cban/imageFile/k292532839_1.jpg HTTP/1.1" 200 147
127.0.0.1 - - [21/Jun/2018:16:11:01 +0900] "GET /cban/imageFile/s972532852_1.jpg HTTP/1.1" 200 147
127.0.0.1 - - [21/Jun/2018:16:11:41 +0900] "GET /cban/bookshop/shopping/buyList.jsp HTTP/1.1" 200 4609
127.0.0.1 - - [21/Jun/2018:16:11:41 +0900] "GET /cban/imageFile/k292532839_1.jpg HTTP/1.1" 200 147
127.0.0.1 - - [21/Jun/2018:16:11:41 +0900] "GET /cban/imageFile/s972532852_1.jpg HTTP/1.1" 200 147
127.0.0.1 - - [21/Jun/2018:16:11:42 +0900] "GET /cban/bookshop/shopping/cartList.jsp HTTP/1.1" 200 7502
127.0.0.1 - - [21/Jun/2018:16:11:42 +0900] "GET /cban/imageFile/s972532852_1.jpg HTTP/1.1" 200 147
